codigo_ibge_7,codigo_ibge_6,nome_municipio,uf_sigla,nome_uf,regiao,latitude,longitude
1100015,110001,Alta Floresta D'Oeste,RO,Rondônia,Norte,-11.9283,-61.9953
1100023,110002,Ariquemes,RO,Rondônia,Norte,-9.90571,-63.0325
1100031,110003,Cabixi,RO,Rondônia,Norte,-13.4945,-60.552
1100049,110004,Cacoal,RO,Rondônia,Norte,-11.4343,-61.4562
1100056,110005,Cerejeiras,RO,Rondônia,Norte,-13.187,-60.8168
1100064,110006,Colorado do Oeste,RO,Rondônia,Norte,-13.1174,-60.5454
1100072,110007,Corumbiara,RO,Rondônia,Norte,-12.9551,-60.8947
1100080,110008,Costa Marques,RO,Rondônia,Norte,-12.4367,-64.228
1100098,110009,Espigão D'Oeste,RO,Rondônia,Norte,-11.5266,-61.0252
1100106,110010,Guajará-Mirim,RO,Rondônia,Norte,-10.7889,-65.3296
1100114,110011,Jaru,RO,Rondônia,Norte,-10.4318,-62.4788
1100122,110012,Ji-Paraná,RO,Rondônia,Norte,-10.8777,-61.9322
1100130,110013,Machadinho D'Oeste,RO,Rondônia,Norte,-9.44363,-61.9818
1100148,110014,Nova Brasilândia D'Oeste,RO,Rondônia,Norte,-11.7247,-62.3127
1100155,110015,Ouro Preto do Oeste,RO,Rondônia,Norte,-10.7167,-62.2565
1100189,110018,Pimenta Bueno,RO,Rondônia,Norte,-11.672,-61.198
1100205,110020,Porto Velho,RO,Rondônia,Norte,-8.76077,-63.8999
1100254,110025,Presidente Médici,RO,Rondônia,Norte,-11.169,-61.8986
1100262,110026,Rio Crespo,RO,Rondônia,Norte,-9.69965,-62.9011
1100288,110028,Rolim de Moura,RO,Rondônia,Norte,-11.7271,-61.7714
1100296,110029,Santa Luzia D'Oeste,RO,Rondônia,Norte,-11.9074,-61.7777
1100304,110030,Vilhena,RO,Rondônia,Norte,-12.7502,-60.1488
1100320,110032,São Miguel do Guaporé,RO,Rondônia,Norte,-11.6953,-62.7192
1100338,110033,Nova Mamoré,RO,Rondônia,Norte,-10.4077,-65.3346
1100346,110034,Alvorada D'Oeste,RO,Rondônia,Norte,-11.3463,-62.2847
1100379,110037,Alto Alegre dos Parecis,RO,Rondônia,Norte,-12.132,-61.835
1100403,110040,Alto Paraíso,RO,Rondônia,Norte,-9.71429,-63.3188
1100452,110045,Buritis,RO,Rondônia,Norte,-10.1943,-63.8324
1100502,110050,Novo Horizonte do Oeste,RO,Rondônia,Norte,-11.6961,-61.9951
1100601,110060,Cacaulândia,RO,Rondônia,Norte,-10.349,-62.9043
1100700,110070,Campo Novo de Rondônia,RO,Rondônia,Norte,-10.5712,-63.6266
1100809,110080,Candeias do Jamari,RO,Rondônia,Norte,-8.7907,-63.7005
1100908,110090,Castanheiras,RO,Rondônia,Norte,-11.4253,-61.9482
1100924,110092,Chupinguaia,RO,Rondônia,Norte,-12.5611,-60.8877
1100940,110094,Cujubim,RO,Rondônia,Norte,-9.36065,-62.5846
1101005,110100,Governador Jorge Teixeira,RO,Rondônia,Norte,-10.61,-62.7371
1101104,110110,Itapuã do Oeste,RO,Rondônia,Norte,-9.19687,-63.1809
1101203,110120,Ministro Andreazza,RO,Rondônia,Norte,-11.196,-61.5174
1101302,110130,Mirante da Serra,RO,Rondônia,Norte,-11.029,-62.6696
1101401,110140,Monte Negro,RO,Rondônia,Norte,-10.2458,-63.29
1101435,110143,Nova União,RO,Rondônia,Norte,-10.9068,-62.5564
1101450,110145,Parecis,RO,Rondônia,Norte,-12.1754,-61.6032
